Flag,Feature Name,RequestName,Test Scenario Summary,ExpectedStatuscode,username ,password  ,email ,firstName ,lastName ,phone 
TestData,Login,POST,To validate when user enters both valid credentials username and password.,200,tushar.bhadane+frontdesk@thinkitive.com,Bluesky@123,,,,
TestData,Login,POST,To validate when user have valid username but invalid password.,401,tushar.bhadane+frontdesk@thinkitive.com,Test@123,,,,
TestData,Login,POST,To validate API response when user have invalid username & invalid password.,401,frontdesk@thinkitive.com,frontdesk@thinkitive.com,,,,
TestData,Login,POST,To validate when user have invalid username but valid password.,401,frontdesk@thinkitive.com,Bluesky@123,,,,
TestData,Patient,POST,To verify patient is adding successfully.,201,,,abhi@gmail.com,Abhijit,P,2345556555
TestData,Patient,GET,To validate newly added patient data is saved correctly and able to fetch it correctly.,200,,,,,,
TestData,Patient,PUT,Verify able to modify patient record.,201,,,,,,
TestData,Patient,DELETE,Able to delete the patient record successfully.,200,,,,,,
TestData,Provider,POST,Check Provider is creating successfully.,201,,,,,,
TestData,Provider,GET,To fetch and verify newly created provider details.,200,,,,,,
TestData,Provider,PUT,To verify user is able to update provider details.,201,,,,,,
TestData,Provider,DELETE,Check whether user is able to delete provider.,200,,,,,,
TestData,Task,,,,,,,,,
TestData,Task,,,,,,,,,
TestData,Task,,,,,,,,,
TestData,Task,,,,,,,,,
Run,Login,Login-POST,To verify when user enters valid credentials.,200,tushar.bhadane+frontdesk@thinkitive.com,Bluesky@123,,,,
