Flag,Feature Name,RequestName,Test Scenario Summary,ExpectedStatuscode,RequestBody,key1,key2,key3, key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15,ResponseBody,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,Result
TestData,Login,POST,To validate when user enters both valid credentials username and password.,200,,username : tushar.bhadane+frontdesk@thinkitive.com,password :Bluesky@123,,,,,,,,,,,,,,,access_token,date,code,message,ENTITY ,expires_in ,token_type ,Bearer ,60000,refresh_token,
TestData,Login,POST,To validate when user have valid username but invalid password.,401,,username : tushar.bhadane+frontdesk@thinkitive.com,password :Test@123,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Login,POST,To validate API response when user have invalid username & invalid password.,401,,username : frontdesk@thinkitive.com,password :frontdesk@thinkitive.com,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Login,POST,To validate when user have invalid username but valid password.,401,,username : frontdesk@thinkitive.com,password :Bluesky@123,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Patient,POST,To verify patient is adding successfully.,201,,email :abhi@gmail.com,FirstName:Abhijit,lastName :P,Phone:2345556555,,,,,,,,,,,,,,,,,,,,,,,
TestData,Patient,GET,To validate newly added patient data is saved correctly and able to fetch it correctly.,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Patient,PUT,Verify able to modify patient record.,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Patient,DELETE,Able to delete the patient record successfully.,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Provider,POST,Check Provider is creating successfully.,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Provider,GET,To fetch and verify newly created provider details.,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Provider,PUT,To verify user is able to update provider details.,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Provider,DELETE,Check whether user is able to delete provider.,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Task,POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Task,GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Task,PUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestData,Task,DELETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run,Login,Login-POST,To validate when user enters both valid credentials username and password.,200,,username : tushar.bhadane+frontdesk@thinkitive.com,password :Bluesky@123,,,,,,,,,,,,,,,access_token,date,code,message,ENTITY ,expires_in ,token_type ,Bearer ,60000,refresh_token,
No-Run,Patient,Patient-POST,To verify patient is adding successfully.,201,,email :abhi@gmail.com,FirstName:Abhijit,lastName :P,Phone:2345556555,birthDate:1998-04-25 ,gender:MALE,emergContactFirstName: jacks ,emergContactLastName: Woods ,emergContactNumber: 914512580978 ,messageConsent:true,callConsent:true,emailConsent:true,active:true,"address: {� � � � line1:ABIL Imperial Commercial Spaces, Above Durga Cafe,� � � � line2:Near Murkute Garden, Baner, Pune, Maharashtra,� city:pune,� � country:India,state:Maharashtra,� �zipcode:411045} ",,,date,PATIENT_ADDED ,message ,Patient added successfully ,data ,requestId ,code ,version ,,,
No-Run,Patient,Patient-GET,To validate newly added patient data is saved correctly and able to fetch it correctly.,200,,,,,,,,,,,,,,,,,,date,message ,code ,data ,PATIENT_DATA_FETCHED ,UUID,email ,version ,requestId ,active ,
No-Run,Patient,Patient-PUT,Verify able to modify patient record.,201,,email :abhi@gmail.com,FirstName:aniket,LastName :jadhav,Phone:14477985723,BirthDate:-1998-12-10,gender:MALE,emergContactFirstName:Wils,emergContactLastName: soman ,emergContactNumber:17741988974 ,messageConsent:false,callConsent:false,emailConsent:false,active:true,"address:{� line1:16 Shanti Vidya Nagri Road,� � �  line2:Mira-Bhayander,� city:mumbai,� � country:India,� � � � state:Maharashtra,� � �  zipcode:400001} ",,,date,code ,message ,PATIENT_UPDATE ,Patient updated successfully ,requestId ,version ,Data,,,
No-Run,Patient,Patient-DELETE,Able to delete the patient record successfully.,200,,,,,,,,,,,,,,,,,,timestamp ,status ,503,error ,requestId ,Service Unavailable ,,,,,
